collection_id,start_time,end_time,time_duration,avg_cpu_usage,avg_memory_usage,record_count,start_after_collection_ids
398551866325,2329945225943,2341945158107,11999932164,0.0023068237304687505,0.0016403579711914064,100,[398551866298 398551866321]
398620970460,2336118270451,2343367380711,7249110260,0.0008511649237738715,0.0010456509060329864,180,[]
384136062040,1301348593591,1301576573163,227979572,0.0019887980848255723,0.0005749145356735383,404,[]
398067719930,2297928972390,2319156690027,21227717637,0.0030440678672185024,0.0022653549436538944,252,[398067719565]
384818457028,1468339268987,1484445705798,16106436811,0.00807301203409831,0.002803219689263238,216,[384818456762]
377555819174,177014532993,182430352396,5415819403,0.0006714863563651468,0.0008920840363004315,268,[]
398554106340,2330064583323,2341396176972,11331593649,0.001961299351283482,0.0017570313953218007,84,[398554104871 398554106332]
396197370079,2086922450714,2093412120280,6489669566,0.000679833548409598,0.0008849075862339564,140,[]
381854895611,776177657463,784302161322,8124503859,0.010627680811388738,0.002648189150053879,116,[381854895571]
397993036062,2258155546685,2265036407362,6880860677,0.0008406761365059092,0.0009018335586939104,156,[]
379295730391,344235531616,350310096883,6074565267,0.0012573863184729287,0.0008831024169921876,172,[]
387898861490,1727543146179,1760570574264,33027428085,0.013084411621093752,0.002572864294052123,128,[387898860696 387898861378]
379292984845,343645534216,360719245235,17073711019,0.003876810488493547,0.001668515412703804,92,[379292984050 379292984796]
396027642617,2071461648856,2086862201167,15400552311,0.004204750061035156,0.0017325774483058763,92,[396027642281 396027642595]
380927588293,603635534406,605251666283,1616131877,0.0009264416164822044,0.000952323277791341,144,[]
379420439896,350456700571,351059380175,602679604,0.0014472422392471979,0.0008871658988620926,184,[]
379559220602,394721964160,395068182850,346218690,0.0017326345148774777,0.0006893590553519649,776,[]
400265600493,2647636873144,2647953971553,317098409,0.0013670754014400016,0.0006905438607199149,456,[]
378559037841,261018224942,263238858496,2220633554,0.0008032863790338692,0.0008915879509665751,352,[]
399736714460,2516202175980,2522725147911,6522971931,0.0009952227274576827,0.0009042104085286459,150,[]
382996087978,1034655153069,1049787882368,15132729299,0.005390559925752528,0.001684020547305837,68,[382996087580 382996087945]
394044378073,1897868283787,1916345978603,18477694816,0.006709792397238993,0.0027677796103737565,88,[394044377891 394044378032 394044377859 394044378017]
378630620819,269743341799,276626908273,6883566474,0.0006410980224609377,0.0009733200073242191,300,[]
380587761472,516085368849,523168146632,7082777783,0.00256143297467913,0.001053401402064732,84,[380587760232 380587761298]
382240610488,864165188962,865750721595,1585532633,0.003633645864633413,0.00094303717980018,65,[]
377442723896,170241819627,190130625263,19888805636,0.012487920125325517,0.0024700164794921866,120,[377442723843 377442723892]
384823982468,1469301901261,1481384201910,12082300649,0.0023879443897920492,0.001544054816750919,68,[384823982082 384823982453]
396197088178,2086652148052,2087671075890,1018927838,0.000379180908203125,0.0007242202758789063,25,[]
377446665959,171424214852,171625932196,201717344,0.0004983676710762766,0.0005695330877452459,5656,[]
394945787784,1986582792123,1986782731342,199939219,0.0008407897769809115,0.0005023514502613357,6804,[]
398649380742,2339802823278,2342279130766,2476307488,0.0009997107765891333,0.0007852641018954192,110,[]
377383104290,167279541109,168102454285,822913176,0.0013958903459402225,0.0005484911111684947,832,[]
385493953505,1641141614417,1664602843055,23461228638,0.014700818944860384,0.002810124997739441,108,[385493953461 385493953500]
397814697381,2244442863023,2258084700823,13641837800,0.0037503242492675777,0.0015984882007945664,88,[397814697349 397814697377]
393580493480,1815385522105,1823217205096,7831682991,0.0009848872820536298,0.0009504887792799215,720,[]
382652925657,950903573404,956643840228,5740266824,0.0029248187416478196,0.0017007024664627878,76,[382652925633]
398590210670,2332347884551,2353050556231,20702671680,0.01381095250447591,0.002700448036193847,96,[398590210562 398590210668]
378637405844,271502467268,273600424423,2097957155,0.0008395081859523964,0.0010420589123742055,236,[]
397037002073,2163165421328,2164612048369,1446627041,0.001997835495892693,0.0009719063253963694,68,[]
382628357711,948442068322,955132817755,6690749433,0.0039317391135475855,0.0018985488198020241,88,[382628357573]
380579770049,515469938348,546015308075,30545369727,0.01062051873458059,0.0024075257150750415,76,[380579764219 380579769465 380579765877 380579769318]
396942692137,2159546609797,2201871950756,42325340959,0.011567910512288409,0.0027403831481933602,96,[396942690323 396942691951]
398942216781,2363250983077,2375412546669,12161563592,0.008480756710737178,0.002508090092585637,156,[398942215751]
382998379335,1034841011258,1048398611281,13557600023,0.004317720731099446,0.001618504524230957,96,[382998379303 382998379313]
375846426451,83587325822,100426390160,16839064338,0.0015742778778076165,0.0013896226882934562,160,[375846425465 375846425978]
383199185258,1091525230678,1100537112193,9011881515,0.00838988167898996,0.0026343209402901794,112,[383199185064]
396027817710,2071641628136,2088209810154,16568182018,0.0038945674896240226,0.001692465373447963,112,[396027817545 396027817630]
382623176202,947460475071,964572999882,17112524811,0.0036888556046919384,0.002198696136474609,176,[382623173608 382623176168 382623173886 382623174238]
381249525277,689782997971,708090079559,18307081588,0.010741737153795035,0.0024992360009087468,144,[381249525166 381249525244]
383721819961,1206693006226,1221431874751,14738868525,0.0021860459271599276,0.0013722251443301931,68,[383721819764 383721819800]
381259121043,690746034604,698991311769,8245277165,0.011957095219538765,0.0023380426260141236,104,[381259120708]
385129190557,1552642018333,1558005050217,5363031884,0.01338509952320772,0.002602465012494256,68,[385129190524]
400012403069,2589120089829,2602734202186,13614112357,0.003540674845377604,0.0017848241896856396,84,[400012402810 400012402946]
