Job ID	NewLB	Summed CPLength	Summed TWork
505114	261	93	1.3863750000000001
506000	39	39	0.29333333333333333
506157	65	41	0.2587
507124	35	35	0.1535416666666667
507162	36	36	0.113125
507194	46	46	0.16010416666666666
508512	34671	613	1328.4788541666667
509129	15702	10148	183.22270833333334
510331	35	35	0.1803125
511745	1627	257	15.426599999999997
512459	23122	490	389.3493
512842	22766	1166	13.661399999999999
513009	13684	9059	188.7669791666667
514818	128	128	0.69625
514915	30	30	0.12770833333333334
515369	37060	481	166.0202
516210	380	128	3.2914791666666665
517361	31359	500	140.431225
517988	801	801	0.9071875
518622	15794	11489	188.97145833333332
519029	26470	631	129.2663
519664	456	48	3.7301999999999995
520176	68667	4971	561.0691666666667
520233	41	41	0.166875
520638	340	116	3.3641291666666664
521837	47	47	0.3883333333333333
522099	68	68	0.42124999999999996
522989	285	93	1.8630000000000002
524958	66	42	0.226125
527581	34079	442	155.95124166666668
527642	1431	105	18.155312499999997
528126	166513	6512	3361.389583333333
528142	30292	500	145.4912
528393	104	104	0.17854166666666665
528562	31642	521	170.904
529152	36315	761	602.2308999999999
529225	32636	685	546.2369
530602	61159	3044	658.9065625
530629	72	72	0.8354166666666667
531877	32	32	0.05572916666666667
533531	139534	1210	2919.0464583333332
533599	175	54	1.0853791666666668
534845	35801	461	162.39780000000002
535165	47	47	0.20958333333333334
535269	31	31	0.05385416666666667
535559	333	113	3.0324791666666666
536499	44	44	0.256875
536778	3080	2531	20.158645833333335
536812	692	104	7.107879166666668
537524	32034	414	153.1075
538802	69	69	0.38645833333333335
539128	48	48	0.23291666666666666
539548	326	117	1.6302999999999999
541637	2315	48	24.754841666666664
541781	32171	899	1059.9613541666665
542224	15997	647	68.27385
542452	2537	779	35.66395833333333
542582	10958	1397	332.45802083333336
543796	3666	442	15.976949999999999
544371	380	128	3.6306833333333337
544557	5758	3228	51.98822916666667
545042	96	96	0.11020833333333334
545503	61	61	0.6024999999999999
546091	36285	478	187.3517
546938	45234	2526	693.3363791666667
548690	46	46	0.29739583333333336
551643	361	126	3.482591666666667
552931	336	116	2.9214124999999997
553041	36276	475	174.8306
